Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
DMART,EQ,926.25,929.85,948.9,923.15,930.0,927.1,937.25,693305,64980125585000.0,31131,204508,0.295
DMART,EQ,927.1,937.0,968.0,932.0,968.0,958.05,950.3,1103036,104821247390000.0,31967,297978,0.2701
DMART,EQ,958.05,977.0,999.0,967.55,985.0,989.5,988.41,2107260,208282857960000.0,49493,359883,0.17079999999999998
DMART,EQ,989.5,990.8,1019.0,986.0,992.3,994.6,1003.52,1441084,144615590710000.0,54869,403683,0.2801
DMART,EQ,994.6,999.5,1057.0,990.2,1052.9,1046.15,1026.33,1489836,152905795470000.0,45263,343877,0.23079999999999998
DMART,EQ,1046.15,1049.0,1068.2,1026.0,1036.65,1032.85,1049.72,1703113,178779193855000.0,61206,469170,0.2755
DMART,EQ,1032.85,1044.9,1059.0,1041.5,1050.0,1050.9,1051.63,599048,62997482010000.0,31851,203219,0.3392
DMART,EQ,1050.9,1055.8,1055.8,1032.0,1042.5,1039.8,1039.83,495126,51484857180000.0,40428,198401,0.4007
DMART,EQ,1039.8,1045.8,1054.0,1037.0,1044.0,1048.4,1044.96,338544,35376408170000.0,17333,100737,0.29760000000000003
DMART,EQ,1048.4,1045.0,1049.35,1007.4,1025.0,1020.65,1024.28,498521,51062367325000.0,28926,224669,0.4507
DMART,EQ,1020.65,1026.0,1094.7,1026.0,1074.95,1077.7,1068.34,1667985,178197841600000.0,42866,543783,0.326
DMART,EQ,1077.7,1067.0,1103.0,1061.05,1064.0,1066.6,1078.72,1476806,159305605625000.0,52908,442364,0.2995
DMART,EQ,1066.6,1071.0,1090.0,1070.0,1074.1,1076.2,1079.64,510790,55146972415000.0,22589,158625,0.3105
DMART,EQ,1076.2,1081.6,1088.0,1055.0,1070.0,1070.85,1072.95,503514,54024713425000.0,24412,173265,0.34409999999999996
DMART,EQ,1070.85,1079.95,1099.0,1060.25,1089.7,1088.8,1086.47,698741,75915791980000.0,27885,197421,0.28250000000000003
DMART,EQ,1088.8,1096.0,1099.0,1085.0,1089.3,1088.45,1090.74,379312,41373187715000.0,22263,144422,0.38070000000000004
DMART,EQ,1088.45,1095.0,1113.3,1085.0,1091.5,1091.5,1099.6,677114,74455655790000.0,22779,167781,0.24780000000000002
DMART,EQ,1091.5,1093.0,1104.9,1080.4,1090.0,1089.75,1092.28,360997,39430870475000.0,16674,101815,0.282
DMART,EQ,1089.75,1103.35,1119.8,1080.1,1084.0,1087.75,1094.56,1564001,171189818005000.0,44292,938195,0.5999
DMART,EQ,1087.75,1092.5,1099.0,1086.9,1089.55,1089.5,1092.24,360118,39333368300000.0,19154,160608,0.446
DMART,EQ,1089.5,1089.55,1094.95,1073.05,1076.1,1077.55,1081.09,297636,32177096900000.0,17056,134323,0.45130000000000003
DMART,EQ,1077.55,1080.5,1094.0,1070.4,1084.5,1084.75,1082.31,342872,37109347335000.0,16762,116594,0.3401
DMART,EQ,1084.75,1085.0,1088.0,1065.0,1068.5,1069.05,1075.36,281126,30231234130000.0,23393,125007,0.4447
DMART,EQ,1069.05,1067.95,1067.95,1028.8,1039.2,1039.15,1047.79,367612,38518071615000.0,19095,153483,0.4175
DMART,EQ,1039.15,1042.0,1047.6,982.05,1037.8,1029.0,1010.4,541800,54743279825000.0,25724,158857,0.2932
DMART,EQ,1029.0,1060.5,1218.0,1054.25,1107.0,1116.05,1145.6,6738985,772016464635000.0,188279,962509,0.1428
DMART,EQ,1116.05,1116.0,1153.6,1069.05,1075.15,1076.75,1117.74,2905722,324782914655000.0,97146,539492,0.1857
DMART,EQ,1076.75,1077.75,1087.0,1021.3,1037.85,1043.95,1052.73,1545452,162694972455000.0,65371,495818,0.3208
DMART,EQ,1043.95,1049.25,1094.8,1048.9,1086.0,1078.45,1077.36,1633060,175939748890000.0,64368,428122,0.2622
DMART,EQ,1078.45,1095.45,1109.65,1078.8,1102.0,1100.95,1093.82,903689,98847399240000.0,26918,195882,0.2168
DMART,EQ,1100.95,1107.5,1128.7,1087.85,1098.0,1099.35,1105.36,1449647,160237541475000.0,36662,303899,0.2096
DMART,EQ,1099.35,1105.0,1118.0,1092.35,1108.0,1104.0,1105.47,1044277,115441622290000.02,29566,301228,0.28850000000000003
DMART,EQ,1104.0,1110.0,1120.0,1100.0,1106.0,1105.25,1110.76,635948,70638734665000.0,31851,314136,0.494
DMART,EQ,1105.25,1108.5,1126.8,1105.05,1116.4,1116.75,1116.69,773906,86421017530000.0,30035,318349,0.4114
DMART,EQ,1116.75,1124.4,1202.9,1120.1,1193.0,1184.65,1169.94,3365543,393746705260000.0,79790,780270,0.2318
